UNIVERSITY,OVERALL SCORE-15,Academic Reputation-15,Employer Reputation-15,Faculty Student-15,International Faculty-15,International Students-15,Citations per Faculty-15,# RANK  2015
Massachusetts Institute of Technology (MIT),100,100,100,100,100,95.5,100,1
Harvard University,98.7,100,100,98.6,99.9,76,100,2
University of Cambridge,98.6,100,100,100,96.2,96.6,93.7,3
Stanford University,98.6,100,100,99.5,97.6,72.8,99.9,3
California Institute of Technology (Caltech),97.9,99.8,89.6,100,90.2,85.2,100,5
University of Oxford,97.7,100,100,100,97.8,96.6,88.9,6
UCL (University College London),97.2,99.9,99.8,98.6,95.5,99.9,88,7
Imperial College London,96.1,99.9,100,99.9,100,100,79.6,8
ETH Zurich - Swiss Federal Institute of Technology,95.5,99.9,99,78.6,100,98,98.8,9
University of Chicago,94.6,99.9,96.3,93.8,73.4,81.6,91.5,10
Princeton University,94.4,100,98.5,92.9,47.2,68.2,100,11
National University of Singapore (NUS),94.2,100,100,92.9,100,92.5,78.9,12
"Nanyang Technological University, Singapore (NTU)",93.9,95.3,97.5,94.2,100,94,86.5,13
Ecole Polytechnique Fédérale de Lausanne (EPFL),93.8,89.1,93.6,93.6,100,100,99.3,14
Yale University,92.2,100,100,100,89.9,65.5,71.3,15
Johns Hopkins University,91.9,97.2,74,100,96.6,71.2,84.9,16
Cornell University,91.8,99.9,96.7,73.9,90.2,66,97.1,17
University of Pennsylvania,91.5,98.8,97.4,100,52.9,66.6,80.5,18
King's College London,91,95.2,95.9,89.9,95.4,98.2,77.5,19
The Australian National University,91,99.6,94.4,68.9,100,96.7,89.4,19
The University of Edinburgh,90.8,99.7,98,85.3,93.1,97.9,71.5,21
Columbia University,89.7,100,99.4,100,33,89.8,67,22
"Ecole normale supérieure, Paris",89.2,89.6,78.9,91.9,55.6,82.6,100,23
McGill University,88.6,99.1,94.7,80.8,88.3,92.3,70.4,24
Tsinghua University,88.5,99.6,99.5,87.5,47.8,36.1,84.2,25
"University of California, Berkeley (UCB)",88.4,100,99.9,46.9,96.8,79.3,99.9,26
"University of California, Los Angeles (UCLA)",88.2,100,99.7,74.2,57.4,49,89.6,27
The Hong Kong University of Science and Technology,88,94.3,91.8,65.8,100,97,89.4,28
Duke University,87.9,96.4,84.6,99.8,,57.4,85.4,29
The University of Hong Kong,87.8,99.5,97.4,84.5,100,98.6,56.3,30
University of Michigan,87.8,99.9,91.4,81.3,65.4,42.2,84.5,30
Northwestern University,87.7,94,81.1,92.3,,51.7,96.4,32
The University of Manchester,87.2,99.3,99.9,79.4,83.9,97.1,61.9,33
University of Toronto,87.1,99.9,95.6,82.6,97.1,90.3,57.3,34
London School of Economics and Political Science (LSE),86.2,93.8,100,65,100,100,77.6,35
Seoul National University,85.3,99.2,96.6,84.2,30.2,,79,36
University of Bristol,85,92.1,98.2,79.7,86.1,81.2,69,37
Kyoto University,84.9,99.9,96.6,94.1,,,71.5,38
The University of Tokyo,84.8,100,99.9,96.3,,,64.9,39
Ecole Polytechnique,83.8,73.5,99.6,99.2,96.2,88.5,75.7,40
Peking University,83.7,99.9,99.8,73,50.5,45.2,70.8,41
The University of Melbourne,83.1,99.8,99.8,,80.1,97.9,80.9,42
KAIST - Korea Advanced Institute of Science & Technology,82.6,89.4,86.6,78.5,,,100,43
"University of California, San Diego (UCSD)",82.5,98,71.3,66.8,31.3,42.4,94.5,44
The University of Sydney,81.9,99.5,99.4,,99.4,89.8,72.7,45
The University of New South Wales (UNSW Australia),81.8,96.9,99.6,,100,92.7,80,46
The University of Queensland,81.8,95.6,91.3,41.9,99.6,82.4,84,46
The University of Warwick,81.6,90.4,99.7,62.4,93.5,98.1,66.3,48
Brown University,81.5,81.9,71.2,81.7,49.4,66.2,96.6,49
University of British Columbia,81.2,99.6,95.8,47,85.4,63.2,73.7,50
The Chinese University of Hong Kong (CUHK),81.1,95.4,85.6,69.3,97.8,63.7,61.2,51
Fudan University,81.1,94.1,96.9,61.3,52.2,49.4,81,51
New York University (NYU),80.5,98.8,97.8,94.8,,82.3,,53
University of Wisconsin-Madison,80.3,97.4,62.1,85.7,51.6,36.1,66.9,54
University of Amsterdam,80.2,95.1,88.1,54.3,70,37.8,84.4,55
Tokyo Institute of Technology,79.4,86.2,84.5,87.2,,,80.4,56
City University of Hong Kong,79.2,72.7,50.7,81.9,100,95.4,93.4,57
Osaka University,78.3,92.5,80.9,86.8,,,69.2,58
University of Illinois at Urbana-Champaign,77.5,97.7,75.8,,62.1,70,98.2,59
Technical University of Munich,77.3,90.4,98.3,90.3,53,65.2,,60
Durham University,77,75.4,98.4,48.7,91.7,88.1,90.6,61
Carnegie Mellon University,76.8,88.1,83.9,,,99.3,99.9,62
University of Glasgow,76.8,87.5,68.3,64.4,86.9,94.4,64.4,62
Delft University of Technology,76.5,83.9,89.4,,93.2,71.2,96.1,64
University of Washington,76.3,95.5,55.8,54.1,,43.8,94.5,65
Ruprecht-Karls-Universitaet Heidelberg,76.1,95.5,80.5,77.6,49.5,59.6,43.3,66
Monash University,76,94.5,96.9,,98.4,93.7,67.1,67
University of St Andrews,75.9,65.9,68.2,79,96.6,99.9,84.5,68
University of Copenhagen,75.7,89.1,77.7,99.9,82,37.8,,69
The University of Nottingham,75.4,80.6,96.7,61.1,87.3,87.6,61.9,70
Lund University,75.4,89.3,84.2,58.1,83.5,72.7,58.1,70
National Taiwan University (NTU),75.4,98,75,46.1,,,85.9,70
Shanghai Jiao Tong University,75.4,88.8,95.9,47.3,60.8,,83.8,70
Tohoku University,75.2,86,72.1,97.1,,,61.4,74
Ludwig-Maximilians-Universität München,74.7,98.1,91.6,49.8,57.1,39.9,56.8,75
University of Birmingham,74.6,82.4,94.9,60.4,85.1,83.4,57.6,76
University of Texas at Austin,74.5,98.5,85.8,,,,97.5,77
"Trinity College Dublin, The University of Dublin",74.3,82.5,73.8,60.7,95.8,84.6,63,78
"University of North Carolina, Chapel Hill",73.7,84.1,45.7,81.7,38.1,,79.9,79
The University of Sheffield,73.6,79,79.7,66.3,81.5,95,59,80
University of Southampton,72.8,72.9,64,76.6,89.2,92.3,63.5,81
The University of Auckland,72.4,92.7,93.6,,85.2,88.4,58.5,82
KU Leuven,72.4,92.4,76.4,,80,41.6,92.6,82
Georgia Institute of Technology,72.3,81.8,78.2,44.5,,86.9,89.9,84
University of Zurich,72.2,78.1,72.7,90.8,100,62.6,,85
"University of California, Davis",72.2,85.8,62,,65.7,46.9,93.9,85
University of Leeds,72,81.7,90.7,57.9,75.8,73.7,55.2,87
Pohang University of Science And Technology (POSTECH),72,56.1,64.9,99.6,49.7,,100,87
University of Geneva,71.2,69.8,,62.3,100,99,86.5,89
Purdue University,71.2,81,77.2,,94.1,78.1,73.3,89
Boston University,71.1,78.5,85.6,62.5,,73.7,71.2,91
KTH Royal Institute of Technology,70.9,64.1,88,67.7,86.1,46.2,80.9,92
"KIT, Karlsruhe Institute of Technology",70.8,64,96.2,84.7,57.1,48.6,65.8,93
Utrecht University,70.7,83.7,69,47.1,59.4,,84.5,94
Leiden University,70.3,87.1,55.2,43.6,66.7,,83.2,95
University of Alberta,70.1,79.5,68.7,56.7,90.3,82.9,56.5,96
University of Helsinki,70.1,83.7,64.7,94.6,59.9,,36.8,96
The University of Western Australia,69.4,79.3,70.3,,99.7,65.6,76.1,98
The Ohio State University,69.3,82,57.4,71.9,80.4,55.2,47,99
University of Groningen,68.8,69.1,58.5,81.1,93.4,94.2,48,100
Pennsylvania State University,68.7,85.7,73.3,,,45.5,86.1,101
Uppsala University,68.4,85.7,65.6,47,,75.8,64.2,102
University of York,68.3,67.7,70.1,51.5,87.1,81.1,76.6,103
Korea University,68.2,78.4,84.6,83.2,,39.2,42.6,104
Yonsei University,67.9,79.4,86.6,83.8,,,40.3,105
Rice University,67.8,50.5,,84.2,86.1,87.1,99.7,106
Aarhus University,67.4,74.9,63.8,43.3,71,47.1,81.7,107
Lomonosov Moscow State University,67.2,84.2,82.1,99.6,,56.1,,108
Queen Mary University of London,67,63.4,57.4,72.4,96.6,99.3,57.5,109
Washington University in St. Louis,66.9,60.4,,99.9,,58.7,76.7,110
Zhejiang University,66.9,80.2,80.1,,,,90.3,110
Technical University of Denmark,66.8,44.1,52.9,95.4,97.1,74.8,80.2,112
The University of Adelaide,66.7,75.2,76.5,42.2,93.5,98.6,53.9,113
University of Science and Technology of China,66.7,72.1,48.7,62.8,,,97.9,113
Université de Montréal,66.6,79.5,75.6,,85,80.1,62,115
The Hong Kong Polytechnic University,66.3,69.1,59.6,47,99.3,82,70.5,116
Eindhoven University of Technology,66.2,50.5,57.3,99.4,100,,69.6,117
Sungkyunkwan University (SKKU),66.1,68.9,99.4,86.9,,,43.5,118
Freie Universitaet Berlin,65.7,93.3,62.7,,60.1,54.6,61.3,119
Nagoya University,65.6,73.7,58,93.7,,,45.7,120
Lancaster University,65.5,59.1,69.2,45.1,91.4,95.8,82.3,121
Cardiff University,65,63.8,73.3,66.8,71.7,85.7,53.8,122
University of Minnesota,64.9,84.1,46.3,,,37.6,97.4,123
Universidad de Buenos Aires (UBA),64.6,95.7,98.9,61.4,30.4,38,,124
Ghent University,64.6,71.5,54.9,90.3,55.8,,40.9,124
Erasmus University Rotterdam,64.5,55.1,90.4,65.7,69.2,65.3,67.1,126
Humboldt-Universität zu Berlin,64.5,96.6,76.6,,55.4,42.8,41.7,126
"University of Maryland, College Park",64.5,70,,63.3,31.2,37,82.3,126
"University of California, Santa Barbara (UCSB)",64.3,84.4,,,62.7,44.7,100,129
University of Southern California,64.2,70.4,65.1,42.9,34.8,74.1,76.7,130
Nanjing University,64.2,76.7,63.6,,38.7,,86.5,130
Chalmers University of Technology,64,48.6,86.5,71.9,78.7,44.6,76.3,132
Albert-Ludwigs-Universitaet Freiburg,63.5,74.1,,59.3,58.3,45.4,64.7,133
University of Pittsburgh,63.5,58.2,,93.8,64.6,,67.6,133
Wageningen University,63.4,55.6,40,99.9,42.8,86.5,52.9,135
University of Oslo,63.4,71.5,45.4,61.3,67,45.4,61.1,135
University of Aberdeen,63.2,53.6,63.3,65.3,93.4,94.4,64.1,137
Université Pierre et Marie Curie (UPMC),63.2,72.3,52.3,,36.4,53.2,89.4,137
University of Basel,63.1,54.5,48.3,,100,85.1,96.6,139
Aalto University,63.1,50.5,58.5,92.6,75.6,38.7,63.5,139
Hokkaido University,63.1,69.8,64.7,85.8,,,48.4,139
Kyushu University,62.7,69.3,66.4,98.8,,,,142
University of Lausanne,62.4,53.2,55,95.2,97.6,77.9,38.5,143
Universidade de São Paulo,62.4,95.3,94.6,,,,,143
RWTH Aachen University,62.2,78.5,97.6,,31.4,50.7,53,145
Universiti Malaya (UM),62.1,62,56.8,94.1,80.6,77.3,,146
Indian Institute of Science (IISc) Bangalore,62,52.5,39.7,84.4,,,99.3,147
The Hebrew University of Jerusalem,61.8,66.9,,82.5,52,,59.4,148
Université Catholique de Louvain (UCL),61.5,76.5,72.4,55.2,78.9,65.4,,149
McMaster University,61.5,61.7,60.2,64.6,91.5,50.6,53.3,149
University of Liverpool,61.1,55.1,69.5,66.8,76.9,95.1,50.1,151
University of Waterloo,60.9,61,79.4,,78.3,75.7,88.6,152
University of Vienna,60.8,82.5,57.9,,94.8,93.4,,153
University College Dublin,60.5,62.2,72.4,,90.9,63.7,63.1,154
National Tsing Hua University,60.2,65.2,49,,39.1,,99.8,155
CentraleSupélec,60.1,,100,86.7,,94.9,74.3,156
University of Reading,60.1,51.1,68.2,51.5,86.6,89.7,67.7,156
Dartmouth College,60,41.1,65.3,86.4,,51.6,83.8,158
University of Bath,59.8,51.3,89,,90.5,90.4,68.3,159
Texas A&M University,59.7,76.3,68.3,,,,89.8,159
Universidad Nacional Autónoma de México  (UNAM),59.6,95.9,92.5,49.4,,,,160
The University of Exeter,59.5,52,76.7,44.3,85.2,87.1,66.9,161
Newcastle University,59.4,49.6,73.2,61.8,83.4,88.6,55.8,162
"University of California, Irvine",59.2,63.3,40.9,,52.8,69.9,95.7,163
Michigan State University,58.9,69.8,59.5,,61.5,55.6,70.8,164
Emory University,58.8,41.8,,85.1,45,45.2,89.6,165
University of Bern,58.6,43.8,45.4,46.3,99.4,43.5,99.9,166
University of Barcelona,58.6,86.9,74.1,,,,38.8,166
Georg-August-University Goettingen,58.5,74.2,,74.9,44.5,37.9,,168
Maastricht University,58.2,37.5,68.8,71.5,94.8,99.9,60.6,169
Pontificia Universidad Católica de Chile (UC),58.1,90.7,98.3,,,,,170
University of Cape Town,57.8,68.9,60.6,,70.1,52.5,53.3,171
University of Virginia,57.7,53.7,49.7,70.9,53.4,35.9,62.6,172
University of Otago,57,62.7,53.8,,100,66,60.4,173
Eberhard Karls Universität Tübingen,57,64.5,51.4,82.4,47.2,,,173
University of Colorado Boulder,56.9,56,51.6,70.1,40.2,,61.5,175
Vrije Universiteit Amsterdam,56.8,64.3,66.8,,44.3,,66.1,176
Radboud University,56.7,47,42.2,60,52.2,38.8,85.1,177
Technische Universität Berlin (TU Berlin),56.6,70.5,82.3,,39.2,56.9,,178
Indian Institute of Technology Delhi (IITD),56.4,55.3,81.6,,,,96.2,179
University of Florida,56.1,65.3,44.6,68.2,,,48.3,180
University of Bergen,55.9,47.3,,86.4,78.9,,59,181
Queen's University Belfast,55.8,49.9,56.6,52.4,97.8,94,50.1,182
National Chiao Tung University,55.8,37.5,,64.9,49,63.1,96.5,182
Stockholm University,55.8,76.9,50.8,,,,53.3,182
"University of Illinois, Chicago (UIC)",55.7,59,46.7,47.5,61.3,57.7,59.5,185
Universidad Autónoma de Madrid,55.5,72.5,68.6,51.3,,,37.8,186
University of Sussex,55.6,48.4,,,100,96.9,77,187
Politecnico di Milano,55.2,64.7,89.8,,38.2,48.5,66.7,187
University of Twente,55.1,37.4,39.6,44.3,81.1,73.4,97.5,188
École Normale Supérieure de Lyon,55.1,58.3,,100,53.9,38.4,,188
University of Rochester,54.8,38.9,,99.9,35.9,77.8,59.3,190
Universitat Autònoma de Barcelona,54.8,78,47.5,,,,50.3,190
The University of Western Ontario,54.6,50.3,62.3,,95.5,57.9,78.5,192
Hanyang University,54.4,44.3,67.8,94.5,,53.2,,193
Vrije Universiteit Brussel (VUB),54.2,41.4,64.1,95,77.1,69.4,,194
University of Notre Dame,54.1,42.2,48.2,50.4,83.5,,84.1,195
Universidade Estadual de Campinas (Unicamp),54.1,75.1,79.9,,,,43.4,195
Vienna University of Technology,53.9,47.2,71.1,,62.3,87.4,90.8,197
Technion - Israel Institute of Technology,53.8,54.2,42.4,,60,,87.5,198
King Fahd University of Petroleum & Minerals,53.5,37.2,51.7,83.9,100,73.9,39.4,199
Indian Institute of Technology Bombay (IITB),52.8,62.3,87.5,,,,65.6,202
Tel Aviv University,52.7,58,47.9,,34.3,,98.9,203
University of Calgary,52.5,54.9,67.6,,69.1,64.7,53.3,204
Alma Mater Studiorum - University of Bologna,52.5,87.5,62.9,,,,,204
Queen's University at Kingston,52.4,53.8,67.5,,78.6,,75.4,206
Universite libre de Bruxelles,52,56.4,62.3,,93.8,94.9,,207
University of Antwerp,51.9,43.4,40.5,95.3,65,51.6,,208
Universidad de Chile,51.6,84.6,92.8,,,,,209
Rheinische Friedrich-Wilhelms-Universität Bonn,51.4,67.1,39.4,60.3,,39.1,,210
University of Canterbury,51.2,49.1,57.8,,99,61.9,61.2,211
Waseda University,51.1,73.3,85.3,,35.6,40.2,,212
Georgetown University,51,49.8,66.5,58.7,44.7,54.3,38.3,213
Sapienza University of Rome,51,85.7,54.4,,,,44.9,213
Case Western Reserve University,50.8,,,97.7,36.5,65.3,65.6,215
Vanderbilt University,50.7,46.6,,100,,,43.4,216
The University of Arizona,50.7,61,,,,,71.9,216
University of Technology Sydney,50.5,48.6,85.9,,95.6,93.2,42.3,218
Universität Hamburg,50.4,68.9,55.4,,,37,,219
University of Tsukuba,50.4,52.1,45.8,79,,,,219
Keio University,50.4,65.8,82.3,57.5,,,,219
Université Paris-Sorbonne (Paris IV),50.3,86,78.6,,31.2,52,,222
Sciences Po,50.2,36.8,78.3,92.6,64.1,97.2,,223
National Cheng Kung University (NCKU),50.1,49.7,,51,,,68.9,224
Simon Fraser University,50,41.6,45.3,,93.5,91.7,88.2,225
University Complutense Madrid,49.7,76.9,79,,,38.6,,226
Technische Universität Dresden,49.6,49.2,67.8,,30.7,42.2,81.4,227
Loughborough University,49.5,38.9,69,,79.9,71.5,59.4,228
Macquarie University,49.4,48.4,63.6,,100,78.3,58.8,229
Victoria University of Wellington,49.4,51.2,58.4,,100,66.1,54.1,229
Royal Holloway University of London,49.3,,,,97.7,98,77.9,231
Beijing Normal University,49.2,56.4,48.7,42.2,58.6,,45.8,232
University College Cork,49.1,44.4,60.7,43.2,92.1,47.8,47.4,233
University of Turku,49.1,41.9,65.3,92.5,33.8,,,233
University of Leicester,48.9,32.8,40.1,64,80,97.1,50,235
Université Joseph Fourier - Grenoble 1,48.9,52.9,,,,44,71.9,235
King Saud University,48.7,42.2,45.9,90.2,97.6,,,237
Instituto Tecnológico y de Estudios Superiores de Monterrey,48.6,43.6,93.2,71.5,83.3,47.7,,238
University of East Anglia (UEA),48.4,36.7,,,71.3,85.6,78.9,239
Université Paris 1 Panthéon-Sorbonne,48.2,81.1,90.7,,,64.5,,240
Université de Strasbourg,48.1,72.3,,,42.3,54.2,37.3,241
Université Paris-Sud,48.1,46.3,,66.4,37.3,48.6,46.3,241
University of Wollongong,48,,78.6,,99.9,69.6,63.9,243
Universität Frankfurt am Main,48,64.7,64.1,,,53.6,,243
University of Massachusetts Amherst,48,53.7,42.6,,,,76.9,243
Technische Universität Darmstadt,47.7,34.2,88.1,,59.9,59.1,78.7,246
University of Surrey,47.6,34.8,46.8,47.1,94.5,97.7,49.4,247
University of Gothenburg,47.6,52.8,45,53.4,35.8,,38.8,247
University of Strathclyde,47.5,37.4,69.5,,85.9,73.8,50.1,249
Arizona State University,47.5,60.3,,,,39.9,75.1,249
Universität Stuttgart,47,44.2,62.6,64.7,38.1,69.2,,251
Tufts University,46.9,,,64,30.1,45.4,80.4,252
Chulalongkorn University,46.8,76.3,59,,,,,253
Norwegian University of Science And Technology,46.6,43.4,52.9,,75.9,41.1,56.9,254
Indian Institute of Technology Madras (IITM),46.6,41.4,66.9,,,,82.3,254
"The University of Newcastle, Australia (UON)",46.4,43,59.3,,96.3,52.5,49.1,256
Saint-Petersburg State University,46.4,49.3,46.7,97,,,,256
Westfälische Wilhelms-Universitat Münster,46.4,49.7,69.8,54,,,,256
Ben Gurion University of The Negev,46.2,,,49,85.2,60.1,67.1,259
National Taiwan University of Science and Technology (Taiwan Tech),46.1,34.8,,74.7,,,58.2,260
University of Dundee,46,34.5,,79.4,84.2,79.6,,261
