UNIVERSITY,OVERALL SCORE-15,Academic Reputation-15,Employer Reputation-15,Faculty Student-15,International Faculty-15,International Students-15,Citations per Faculty-15,# RANK  2015
Maynooth University,,,,,88.3,,,551-600
Murdoch University,,,,,90.9,49.6,,551-600
Nagasaki University,,,,87.2,,,,551-600
National Taipei University of Technology,,,,52.5,,,37.9,551-600
Okayama University,,,,77.9,,,,551-600
Shandong University,,,,,,,,551-600
South China University of Technology,,,,,,,66.1,551-600
The Catholic University of Korea,,,,90,,,,551-600
Tokyo University of Agriculture and Technology,,,,,,,54,551-600
Umm Al-Qura University,,,,64.7,99,,,551-600
University of Salamanca,,34.7,,,,,,551-600
Universidad Nacional de Córdoba - UNC,,46,50.2,,,,,551-600
Universidade de Santiago de Compostela,,,,,,,,551-600
Universidade Federal de Minas Gerais,,39.2,,,,,,551-600
Gadjah Mada University,,46.4,,,,,,551-600
Universität Duisburg-Essen,,,,,,56.1,39.5,551-600
University Duesseldorf,,,,,,44.2,,551-600
Universität Rostock,,,,,,,87.9,551-600
Université Nice Sophia Antipolis,,,,,,78.5,,551-600
University of Bradford,,,,,59,90.4,,551-600
University of Canberra,,,,,54.8,70.5,,551-600
University of Hull,,,,,62.1,54.8,,551-600
University of Kentucky,,,,,,,53.8,551-600
University of Kwazulu-Natal,,,,,80.3,,,551-600
University of Ljubljana,,,,,,,,551-600
University of Manitoba,,,,43.4,,42.4,,551-600
University of Massachusetts - Boston,,,,,,,,551-600
University of Mississippi,,,,69.4,,,40.1,551-600
University of Science and Technology Beijing,,,,,,,47.2,551-600
University of Tehran,,,,,,,46.5,551-600
Ulster University,,,,,96.2,39,,551-600
University of Vermont,,,,72.2,,,,551-600
Worcester Polytechnic Institute,,,,,,73.7,47,551-600
Bar-Ilan University,,,,,44.3,,42,601-650
Brno University of Technology,,,55.8,,,52.4,,601-650
Clarkson University,,,,,54.6,,66.4,601-650
Dublin Institute of Technology,,,41.7,,42.7,83.4,,601-650
Eötvös Lorànd University,,,,,,,,601-650
Instituto Politécnico Nacional (IPN),,,51.4,,,,,601-650
Jordan University of Science & Technology,,,51.8,,,82.4,,601-650
Justus-Liebig-University Giessen,,,,,,,,601-650
Kazakh National Pedagogical University named after Abay,,,,79.8,,,,601-650
Kumamoto University,,,,59,,,,601-650
Kyungpook National University,,,,,,,,601-650
Lanzhou University,,,,,,,65.3,601-650
"Lingnan University, Hong Kong",,,,,96.8,45.1,,601-650
Louisiana State University,,,,,,,64.6,601-650
Memorial University of Newfoundland,,,,50.8,,43.2,,601-650
National and Kapodistrian University of Athens,,,45.9,,,,,601-650
National Research Saratov State University,,,,100,,,,601-650
"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",,,,62.1,,,,601-650
The New School,,,,64,,93.1,,601-650
RUDN University,,,,67.4,,91.3,,601-650
Pontificia Universidad Católica de Valparaíso,,32.6,46.3,,,,,601-650
"Rutgers - The State University of New Jersey, Newark",,,,,33,,,601-650
Southern Federal University,,,,90.1,,,,601-650
Stevens Institute of Technology,,,,,,93.8,54,601-650
Tallinn University of Technology,,,,48.2,,,,601-650
Temple University,,,,,,,,601-650
Thammasat University,,,,,,,,601-650
Universidad Adolfo Ibàñez,,,76.3,,44.3,,,601-650
Universidad Central de Venezuela,,,47.7,,,,,601-650
Universidad de Alcalá,,,,,,68.6,,601-650
Universidad de Antioquia,,39.8,,,,,,601-650
Universidad de Concepción,,32.6,40,,,,,601-650
Universidad de Montevideo (UM),,,,,34.1,,,601-650
Universidad Torcuato Di Tella,,,45.6,,,,,601-650
Université de Sherbrooke,,,,49.1,,44.2,,601-650
Université Panthéon-Assas (Paris 2),,,,62.4,,59.7,,601-650
Université Saint-Joseph de Beyrouth,,,,89.8,,,,601-650
University at Albany SUNY,,,,,,,60.5,601-650
University of Alabama,,,,,,,43.9,601-650
University of Calcutta,,,,,,,,601-650
University of Debrecen,,,,,,52.5,,601-650
University of Johannesburg,,,,,61.5,,,601-650
University of Jordan,,,53.8,,32.5,49.9,,601-650
University of Milano-Bicocca,,,,,,,45.4,601-650
University of New Hampshire,,,,55.5,,,37,601-650
University of Patras,,,,,,,60.5,601-650
University of Portsmouth,,,,,66.6,80.5,,601-650
University of Seoul,,,,42.5,,,,601-650
University of Sharjah,,,,,100,100,,601-650
Ural Federal University,,,,74.6,,,,601-650
Victoria University,,,,,,78.7,43.2,601-650
Yokohama City University,,,,99.9,,,,601-650
Ajou University,,,,63.5,,,,651-700
Brigham Young University,,,48.9,,,,,651-700
Chonnam National University,,,,50.8,,,,651-700
Chungnam National University,,,,,,,,651-700
Clemson University,,,,,,,49.9,651-700
Comenius University in Bratislava,,,,55.8,,,,651-700
Far Eastern Federal University,,,,75.6,,,,651-700
George Mason University,,,,43.1,,,,651-700
Georgia State University,,,,,,,37.7,651-700
Hacettepe University,,,,,,,,651-700
Howard University,,,,67.6,,,,651-700
Kasetsart University,,34.4,,,,,,651-700
Khazar University,,,,46.5,58.5,39.9,,651-700
King Faisal University,,,,,100,,,651-700
Lebanese American University,,,43.3,,69,64.1,,651-700
London Metropolitan University,,,,,64.3,97.3,,651-700
Loyola University Chicago,,,,44.1,,,,651-700
Middlesex University,,,,,84.3,99.6,,651-700
National Chengchi University,,,,,,,,651-700
Osaka City University,,,,46.5,,,,651-700
Osaka Prefecture University,,,,56.2,,,,651-700
Quaid-i-Azam University,,,,,,,55.4,651-700
Tokyo University of Science,,,,,,,38.4,651-700
Universidad Anahuac,,,50.8,55.2,,,,651-700
Universidad de Guadalajara (UDG),,,,48.3,,,,651-700
Universidad de la República (UdelaR),,,,,,,,651-700
Universidad Diego Portales (UDP),,,,,37.8,,,651-700
Universidad Iberoamericana (UIA),,,56.1,,,,,651-700
Universidad Panamericana (UP),,,,77.7,,,,651-700
Universidade Católica Portuguesa - UCP,,,45.7,,,,,651-700
Universidade do Estado do Rio de Janeiro (UERJ),,,,66.4,,,,651-700
Universidade Federal de São Carlos (UFSCAR),,,,,,,,651-700
University of Trieste,,,,,,,,651-700
University of  Lorraine,,,,,,51,,651-700
Université de Nantes,,,,,,,,651-700
University of Baghdad,,,,57.6,,,,651-700
University of Bucharest,,,54.7,,,,,651-700
University of Denver,,,,51.2,,,,651-700
University of Macau,,,,,100,94.2,,651-700
University of New England Australia,,,,,,,36.8,651-700
Plymouth University,,,,,52.8,42,40.3,651-700
University of Salford,,,,,,72.1,,651-700
University of Ulsan,,,,63.5,,,,651-700
Western Sydney University,,,,,,,,651-700
University of Windsor,,,,,,37.5,77.7,651-700
University of Wyoming,,,,46.9,,,,651-700
Virginia Commonwealth University,,,,56.5,,,,651-700
Warsaw University of Technology,,,55.9,,,,,651-700
Yokohama National University,,,,,,,,651-700
Abu Dhabi University,,,,,100,100,,701+
Ain Shams University,,,55.2,,,,,701+
Airlangga University,,,,,,,,701+
Al Azhar University,,,,,,62.6,,701+
Alexandria University,,,40.8,,,,,701+
Alexandru Ioan Cuza University,,,,,,,,701+
Alpen-Adria-Universitaet Klagenfurt,,,,,80.9,67.7,,701+
Ankara Üniversitesi,,,,,,,,701+
Aoyama Gakuin University,,,,,,,,701+
Athens University of Economics and Business,,,52.8,,,,,701+
Auburn University,,,,,,,38,701+
Babes-Bolyai University,,,,,,,,701+
Baku State University,,,,,,,,701+
Banaras Hindu University,,,,,,,,701+
Baylor University,,,,,,,,701+
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,,,51.6,,,,701+
Benemérita Universidad Autónoma de Puebla,,,,,,,,701+
Binghamton University SUNY,,,,,,48.2,37.6,701+
Bogor Agricultural University,,,,,,,,701+
Charles Sturt University,,,,,52.7,53,,701+
Corvinus University of Budapest,,,65,,,38.7,,701+
Coventry University,,,,,51.7,99,,701+
Cukurova University,,,,,,,,701+
Dankook University,,,,54.8,,,,701+
De La Salle University,,,51.1,,,,,701+
Diponegoro University,,,,,,,,701+
Vasyl` Stus Donetsk National University,,,,,,,,701+
Doshisha University,,,,,,,,701+
Karaganda State University named after academician E.A.Buketov,,,,54.4,,,,701+
Edith Cowan University,,,,,53.3,71.8,,701+
Fordham University,,,,,,,,701+
Fu Jen Catholic University,,,,,,,,701+
Gifu University,,,,77.1,,,,701+
Gunma University,,,,62.4,,,,701+
Hallym University,,,,79.8,,,,701+
Istanbul University,,,,,,,,701+
Kagoshima University,,,,68,,,,701+
Kansas State University,,,,,,,,701+
Kaunas University of Technology,,,,49.7,,,,701+
Kazakh Ablai khan University of International Relations and World Languages,,,,46.5,,,,701+
Kazakh-British Technical University,,,,,75.7,,,701+
Kent State University,,,,,,,,701+
Khon Kaen University,,,,,,,,701+
King Mongkut's University of Technology Thonburi,,,,,,,,701+
Konkuk University,,,,,,,,701+
Kuwait University,,,,,51.9,39.4,,701+
Lahore University of Management Sciences (LUMS),,,50.4,,,,,701+
Lobachevsky University,,,,44.4,,,,701+
University of Lodz,,,,,,,,701+
Auezov South Kazakhstan State University (SKSU),,,,59.7,,,,701+
Makerere University,,,,,,,,701+
Manchester Metropolitan University,,,,,33.7,45.4,,701+
Marquette University,,,,44.3,,,,701+
Miami University,,,,,,,,701+
"National Technical University  ""Kharkiv Polytechnic Institute""",,,,49.4,,40.5,,701+
The National University of Science and Technology MISIS,,,,67.8,,46,,701+
New Jersey Institute of Technology (NJIT),,,,,,60,39.7,701+
Nicolaus Copernicus University,,,,42.4,,,,701+
Niigata University,,,,62.7,,,,701+
Northumbria University at Newcastle,,,44.8,,39.3,50.4,,701+
North-West University,,,,,,,,701+
Nottingham Trent University,,,,,37.7,38.1,,701+
Ochanomizu University,,,,,,,,701+
Ohio University,,,,,,,,701+
Oklahoma State University,,,,,,,,701+
Panjab University,,,,,,,,701+
Paris Lodron University of Salzburg,,,,,,91.1,,701+
Plekhanov Russian University of Economics,,,,54.3,,,,701+
Pontificia Universidad Católica del Ecuador (PUCE),,,,42.3,,,,701+
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,,,,,,,701+
Prince of Songkla University,,,,,,,,701+
Qafqaz University,,,,,58.3,37.1,,701+
Ritsumeikan University,,,,,31,,,701+
Ryerson MBA,,,,,,,,701+
JSC  “ S.Seifullin Kazakh Agro Technical University”,,,,,,,,701+
Saitama University,,,,,,,,701+
San Diego State University,,,,,,,47.8,701+
Institute of Technology Sepuluh Nopember,,,,,,,,701+
Shinshu University,,,,,,,,701+
Smith College,,,,42.4,,38,,701+
Sofia University St. Kliment Ohridski,,,,45.1,,,,701+
Southern Methodist University,,,,52.9,,,,701+
Sumy State University,,,,60.8,,58,,701+
Robert Gordon University,,,,,46.5,75.1,,701+
Tokai University,,,,,,,,701+
Universidad Austral de Chile,,,,,,,,701+
Universidad Autónoma de Nuevo León,,,,,,,,701+
Universidad Autónoma del Estado de México (UAEMex),,,,,,,,701+
Universidad Autónoma Metropolitana (UAM),,,,,,,,701+
Universidad de la Habana,,,,,,,,701+
Universidad de La Sabana,,,48.2,,,,,701+
Universidad de las Américas Puebla (UDLAP),,,,,44.3,,,701+
Universidad de los Andes - (ULA) Mérida,,,,,,,,701+
Universidad de Monterrey (UDEM),,,,,,,,701+
University of Murcia,,,,,,,,701+
Universidad de Puerto Rico,,,,,,,,701+
Universidad San Francisco de Quito (USFQ),,,,,53.6,,,701+
Universidad de Talca,,,,,31.6,,,701+
Universidad de Valparaíso (UV),,,,,,,,701+
Universidad del Norte,,,,,,,,701+
Universidad del Rosario,,,46.8,,46,,,701+
Universidad del Valle,,,,,,,,701+
Universidad Industrial de Santander - UIS,,,,,,,,701+
"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",,,45.9,,,,,701+
Universidad Metropolitana,,,,,31.4,,,701+
Universidad Nacional Costa Rica,,,,,,,,701+
Universidad Nacional de Cuyo,,,,,,,,701+
Universidad Nacional de Mar del Plata,,,,,,,,701+
Universidad Nacional de Rosario (UNR),,,,,,,,701+
Universidad Nacional de Tucumà¡n,,,,,,,,701+
Universidad Nacional del Sur,,,,,,,,701+
Universidad Nacional Mayor de San Marcos,,,,,,,,701+
Universidad Peruana Cayetano Heredia (UPCH),,,,,35.5,,,701+
Universidad Simón Bolívar (USB),,,,,,,,701+
Universidad Técnica Federico Santa María (USM),,,42.9,,,,,701+
Universidad Tecnológica Nacional (UTN),,,55.1,,,,,701+
Universidade Estadual de Londrina,,,,,,,,701+
Universidade Federal da Bahia,,,,68.6,,,,701+
Universidade Federal de Santa Catarina,,,,,,,,701+
Universidade Federal de Santa Maria,,,,,,,,701+
Universidade Federal de Viçosa-UFV,,,,56.9,,,,701+
Universidade Federal do Ceará (UFC),,,,,,,,701+
Universidade Federal do Paraná - UFPR,,,,,,,,701+
Universidade Federal de Pernambuco (UFPE),,,,,,,,701+
Universidade Federal Fluminense,,,,57,,,,701+
Ca' Foscari University of Venice,,,,,,,,701+
Catania University,,,,,,,,701+
University of Genoa,,,,,,,,701+
University of Modena and Reggio Emilia,,,,,,,56.3,701+
Università degli Studi di Perugia,,,,,,,42.5,701+
University of Siena,,,,,,,,701+
Università degli studi Roma Tre,,,,,,,,701+
Universitas Muhammadiyah Surakarta,,,,,,,,701+
Université Charles-de-Gaulle Lille 3,,,,,53.9,,,701+
Université de Caen Basse-Normandie,,,,,,,,701+
Université de Cergy-Pontoise,,,,,32.9,41.5,,701+
Université de Poitiers,,,,,,36.8,,701+
Université Jean Moulin Lyon 3,,,,,,46.1,,701+
Université Lille 2 Droit et Santé,,,,,,,,701+
Université Lumière Lyon 2,,,,,,42.8,,701+
Université Paris Ouest Nanterre La Défense,,,,,,47.8,,701+
Universit Paul-Valery Montpellier 3,,,,,32.3,39.6,,701+
Université Pierre Mendès France - Grenoble 2,,,,,,58.6,,701+
Université Stendhal Grenoble 3,,,,,45.2,51.6,,701+
Université Toulouse 1 Capitole,,,,,43.6,57,,701+
Universiti Teknologi MARA - UiTM,,,,,,,,701+
Universiti Utara Malaysia (UUM),,,,,31.9,51.1,,701+
University of Arkansas,,,,,,,,701+
University of Bahrain,,,39.3,,91.5,,,701+
University of Bari,,,,,,,,701+
University of Belgrade,,,,,,,,701+
University of Brawijaya,,,,,,,,701+
University of Brescia,,,,,,,54.1,701+
University of Central Florida,,,,,,,45,701+
University of Central Lancashire,,,,,,58.6,,701+
University of Colombo,,,,,,,,701+
University of Dar es Salaam,,,,,,,,701+
University of Dhaka,,,54.1,,,,,701+
University of East London,,,,,82.3,94.3,,701+
University of Engineering & Technology (UET) Lahore,,,,,,,,701+
University of Ghana,,,,,,,,701+
University of Greenwich,,,,,69.5,95.8,,701+
University of Haifa,,,,,,,,701+
University of Hertfordshire,,,,,56.6,84.6,,701+
University of Huddersfield,,,,,36.4,86.1,,701+
University of Karachi,,,,,,,,701+
The University of Lahore,,,,,,,,701+
University of Latvia,,,,43.6,,,,701+
University of Montana Missoula,,,,,,,,701+
University of Mumbai,,,55.7,,,,,701+
University of Nairobi,,,,,,,,701+
University of Pune,,,,,,,,701+
University of San Diego,,,,,,,,701+
University of San Francisco,,,,,,43.9,,701+
University of Santo Tomas,,,40.4,,,,,701+
University of Southern Queensland,,,,,46,70.9,,701+
University of the Pacific,,,,46,,,,701+
University of the Western Cape,,,,,40.6,,,701+
University of Tulsa,,,,43.5,,86.9,,701+
University of Wroclaw,,,,,,,,701+
University of Zagreb,,,,,,,,701+
Université de Toulouse II-Le Mirail,,,,,,43.6,,701+
Utah State University,,,,,,,43.8,701+
Verona University,,,,,,,,701+
Vilnius Gediminas Technical University,,,,,,,,701+
Voronezh State University,,,,,,37.4,,701+
Vytautas Magnus University,,,,,,,,701+
Universitatea de Vest din Timisoara /  West University of Timisoara,,,,,,,,701+
Yamaguchi University,,,,63.6,,,,701+
"University of California, San Francisco",,72.4,40.9,100,,,77.4,N/A
Karolinska Institutet,,60.5,,99.3,74.8,72.4,91.8,N/A
Jawaharlal Nehru University,,43.3,,69.3,,,,N/A
London Business School,,43.2,100,,100,100,99,N/A
Weizmann Institute of Science,,39.2,,100,34.5,,97.2,N/A
INSEAD,,38.1,99.9,47.1,,,92.7,N/A
Bocconi University,,35.9,98.4,,33.5,,,N/A
HEC Paris School of Management,,,99.6,,100,99.8,72.6,N/A
ESSEC Business School,,,94.5,,87.7,97.1,,N/A
ESCP Europe - Paris,,,84.5,,100,99.7,,N/A
Stockholm School of Economics,,,81.2,,88.2,44.4,76.5,N/A
Copenhagen Business School,,,78,63.4,43,64.5,42.3,N/A
Singapore Management University,,,70,,100,64,65.3,N/A
"University of Economics, Prague",,,60.2,,53.7,60.8,,N/A
Hitotsubashi University,,,59.8,,,,,N/A
EBS Business School,,,59.1,,47.9,85.2,,N/A
Cranfield University,,,56.6,99.3,92.2,100,61,N/A
WHU - Otto Beisheim School of Management,,,55.3,45.6,66.1,,49.2,N/A
Baylor College of Medicine,,,46.2,100,,43.4,42.1,N/A
BI Norwegian Business School,,,45,,78.2,,,N/A
Université de Technologie de Compiègne (UTC),,,42.3,,,49.2,,N/A
The Rockefeller University,,,,100,69.1,98.4,88.5,N/A
London School of Hygiene and Tropical Medicine,,,,100,95.8,100,78.1,N/A
King Abdullah University of Science & Technology,,,,77,100,100,100,N/A
"St. George's, University of London",,,,72.1,58.1,53.1,60.1,N/A
China Medical University,,,,55.8,,,58.5,N/A
Gwangju Institute of Science and Technology (GIST),,,,43.2,,,100,N/A
