University,Award-15,Award-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Princeton University,93.4,98,,,-4.6,-0.0492505353,0.0024256152,,0.0492505353
University of Cambridge,96.6,96.6,,,0,0,0,,0
Stanford University,89.6,89.6,,,0,0,0,,0
University of Chicago,86.3,86.3,,,0,0,0,,0
Massachusetts Institute of Technology (MIT),80.7,80.7,,,0,0,0,,0
"University of California, Berkeley",79.4,79.4,,,0,0,0,,0
California Institute of Technology,66.7,66.7,,,0,0,0,,0
Columbia University,65.9,65.9,,,0,0,0,,0
Rockefeller University,59.8,59.8,,,0,0,0,,0
University of Oxford,54.9,54.9,,,0,0,0,,0
University of Paris-Sud (Paris 11),54.3,54.3,,,0,0,0,,0
Yale University,50.4,50.4,,,0,0,0,,0
Cornell University,49.8,49.8,,,0,0,0,,0
"University of California, Los Angeles",47.1,47.1,,,0,0,0,,0
"University of California, San Francisco",39.9,39.9,,,0,0,0,,0
"University of California, Santa Barbara",39.1,39.1,,,0,0,0,,0
Technion-Israel Institute of Technology,37.6,37.6,,,0,0,0,,0
Kyoto University,37.2,37.2,,,0,0,0,,0
University College London,36.2,36.2,,,0,0,0,,0
University of Illinois at Urbana-Champaign,36.2,36.2,,,0,0,0,,0
"The Imperial College of Science, Technology and Medicine",35.8,35.8,,,0,0,0,,0
"University of California, San Diego",35.5,35.5,,,0,0,0,,0
Swiss Federal Institute of Technology Zurich,35.5,35.5,,,0,0,0,,0
University of Wisconsin - Madison,34.8,34.8,,,0,0,0,,0
The University of Texas Southwestern Medical Center at Dallas,34.5,34.5,,,0,0,0,,0
University of Colorado at Boulder,34.1,34.1,,,0,0,0,,0
University of Pennsylvania,33.8,33.8,,,0,0,0,,0
Johns Hopkins University,33.6,33.6,,,0,0,0,,0
Moscow State University,33,33,,,0,0,0,,0
The University of Manchester,32.6,32.6,,,0,0,0,,0
University of Oslo,32.6,32.6,,,0,0,0,,0
New York University,31.9,31.9,,,0,0,0,,0
George Mason University,31.9,31.9,,,0,0,0,,0
University of Southern California,31.7,31.7,,,0,0,0,,0
University of Washington,31.6,31.6,,,0,0,0,,0
Carnegie Mellon University,31.6,31.6,,,0,0,0,,0
University of Warwick,29.8,29.8,,,0,0,0,,0
Toulouse School of Economics,29.8,29.8,,,0,0,0,,0
"University of California, Irvine",29.3,29.3,,,0,0,0,,0
Vanderbilt University,29,29,,,0,0,0,,0
University of Strasbourg,28.8,28.8,,,0,0,0,,0
University of Geneva,28.2,28.2,,,0,0,0,,0
The Hebrew University of Jerusalem,28.2,28.2,,,0,0,0,,0
Ecole Normale Superieure - Paris,28,28,,,0,0,0,,0
Pierre and Marie  Curie University - Paris 6,27.4,27.4,,,0,0,0,,0
Uppsala University,27.4,27.4,,,0,0,0,,0
Stockholm University,27.4,27.4,,,0,0,0,,0
Karolinska Institute,26.6,26.6,,,0,0,0,,0
Universit̩ libre de Bruxelles (ULB),26.6,26.6,,,0,0,0,,0
Paris Dauphine University (Paris 9),26.6,26.6,,,0,0,0,,0
The University of Tokyo,14.1,25.3,,,-11.2,-0.7943262411,0.6309541774,,0.7943262411
Heidelberg University,25.3,25.3,,,0,0,0,,0
Nagoya University,25.3,25.3,,,0,0,0,,0
Washington University in St. Louis,24.9,24.9,,,0,0,0,,0
The University of Edinburgh,24.9,24.9,,,0,0,0,,0
MINES ParisTech,24.9,24.9,,,0,0,0,,0
University of Zurich,24,24,,,0,0,0,,0
University of Buenos Aires,24,24,,,0,0,0,,0
University of North Carolina at Chapel Hill,16.3,23.7,,,-7.4,-0.4539877301,0.206104859,,0.4539877301
Purdue University - West Lafayette,23.1,23.1,,,0,0,0,,0
University of Pisa,23.1,23.1,,,0,0,0,,0
University of Sussex,22.4,22.4,,,0,0,0,,0
Northwestern University,22.1,22.1,,,0,0,0,,0
Aarhus University,22.1,22.1,,,0,0,0,,0
Rice University,21.7,21.7,,,0,0,0,,0
Technical University Munich,21.6,21.6,,,0,0,0,,0
Indiana University Bloomington,21.6,21.6,,,0,0,0,,0
King's College London,21,21,,,0,0,0,,0
Norwegian University of Science and Technology - NTNU,21,21,,,0,0,0,,0
"University of Maryland, College Park",20,20,,,0,0,0,,0
Utrecht University,20,20,,,0,0,0,,0
Arizona State University,20,20,,,0,0,0,,0
University of Nottingham,20,20,,,0,0,0,,0
University of Massachusetts Medical School - Worcester,20,20,,,0,0,0,,0
Ecole Normale Superieure - Lyon,20,20,,,0,0,0,,0
University of Bonn,19.8,19.8,,,0,0,0,,0
University of Tsukuba,19.6,19.6,,,0,0,0,,0
Duke University,14.9,19.2,,,-4.3,-0.288590604,0.0832845367,,0.288590604
The Australian National University,19.2,19.2,,,0,0,0,,0
University of Munich,19.1,19.1,,,0,0,0,,0
University of Copenhagen,18.8,18.8,,,0,0,0,,0
University of British Columbia,18.8,18.8,,,0,0,0,,0
University of Groningen,18.8,18.8,,,0,0,0,,0
McMaster University,18.8,18.8,,,0,0,0,,0
"Rutgers, The State University of New Jersey - New Brunswick",18.8,18.8,,,0,0,0,,0
University of Freiburg,18.8,18.8,,,0,0,0,,0
ESPCI ParisTech,18.8,18.8,,,0,0,0,,0
University of Toronto,17.2,17.2,,,0,0,0,,0
"University of Minnesota, Twin Cities",16.3,16.3,,,0,0,0,,0
The University of Texas at Austin,16.3,16.3,,,0,0,0,,0
University of Helsinki,16.3,16.3,,,0,0,0,,0
University of Bristol,16.3,16.3,,,0,0,0,,0
Cardiff University,16.3,16.3,,,0,0,0,,0
Tufts University,16.3,16.3,,,0,0,0,,0
University of Basel,16.3,16.3,,,0,0,0,,0
Weizmann Institute of Science,16.3,16.3,,,0,0,0,,0
Hokkaido University,16.3,16.3,,,0,0,0,,0
London School of Economics and Political Science,16.3,16.3,,,0,0,0,,0
University of Delaware,16.3,16.3,,,0,0,0,,0
University of Lorraine,16.3,16.3,,,0,0,0,,0
Stockholm School of Economics,16.3,16.3,,,0,0,0,,0
University of Gothenburg,15.4,15.4,,,0,0,0,,0
The University of Texas Health Science Center at Houston,15.4,15.4,,,0,0,0,,0
Erasmus University,14.9,14.9,,,0,0,0,,0
University of Goettingen,14.9,14.9,,,0,0,0,,0
Joseph Fourier University (Grenoble 1),14.9,14.9,,,0,0,0,,0
KTH Royal Institute of Technology,14.9,14.9,,,0,0,0,,0
Polytechnic Institute of Milan,14.9,14.9,,,0,0,0,,0
The University of Western Australia,14.1,14.1,,,0,0,0,,0
The Chinese University of Hong Kong,14.1,14.1,,,0,0,0,,0
Virginia Commonwealth University,14.1,14.1,,,0,0,0,,0
The University of Melbourne,13.3,13.3,,,0,0,0,,0
Ghent University,13.3,13.3,,,0,0,0,,0
Brown University,13.3,13.3,,,0,0,0,,0
The University of Sheffield,13.3,13.3,,,0,0,0,,0
University of Liverpool,13.3,13.3,,,0,0,0,,0
University of Muenster,13.3,13.3,,,0,0,0,,0
Catholic University of Louvain,13.3,13.3,,,0,0,0,,0
Sapienza University of Rome,13.3,13.3,,,0,0,0,,0
Trinity College Dublin,13.3,13.3,,,0,0,0,,0
University of Kiel,13.3,13.3,,,0,0,0,,0
University of Leipzig,13.3,13.3,,,0,0,0,,0
University of Aberdeen,13.3,13.3,,,0,0,0,,0
Boston University,11.5,11.5,,,0,0,0,,0
University of Utah,11.5,11.5,,,0,0,0,,0
Technical University of Denmark,11.5,11.5,,,0,0,0,,0
University of Koeln,11.5,11.5,,,0,0,0,,0
Saint Louis University,11.5,11.5,,,0,0,0,,0
Case Western Reserve University,10.9,10.9,,,0,0,0,,0
Leiden University,9.4,9.4,,,0,0,0,,0
University of Birmingham,9.4,9.4,,,0,0,0,,0
University Paris Diderot - Paris 7,9.4,9.4,,,0,0,0,,0
University of Innsbruck,9.4,9.4,,,0,0,0,,0
University of Paris Descartes (Paris 5),9.4,9.4,,,0,0,0,,0
Medical University of Vienna,9.4,9.4,,,0,0,0,,0
Medical University of Graz,9.4,9.4,,,0,0,0,,0
University of Lisbon,8.1,8.1,,,0,0,0,,0
University of Rochester,7.7,7.7,,,0,0,0,,0
University of Mainz,7.7,7.7,,,0,0,0,,0
University of Halle-Wittenberg,6.7,6.7,,,0,0,0,,0
,,,,,,,0.9227691884,,1.5861551106
,,,,,,,0.0065444623,,0.011249327
,,,,,,,0.0808978512,,
