Name,Publications,publication,,h-index
"1. Ramanathan, Al L.",83,2016,378,25
"2. Bohidar, Himadri B.",79,2017,293,23
"3. Lobiyal, Daya Krishan",71,2017,239,10
"4. Thakur, Indu Shekhar Hekhar",62,2016,273,18
"5. Pareek, Ashwani",59,2017,450,20
"6. Bhattacharya, Alok",56,2016,301,26
"7. Grover, Abhinav Grover",55,2017,185,12
"8. Rawat, Kamla P.",51,2017,118,8
"9. Agrawal, Ramesh Kumar",50,2017,91,6
"10. Vidyarthi, Deo Prakash",50,2017,93,8
"11. Patnaik, Satyabrata B.",49,2016,282,23
"12. Ghosh, Subhasis",45,2016,211,17
"13. Ghosh, Rupamanjari",43,2016,115,12
"14. Mohan, Dinesh",42,2016,1486,44
"15. Puri, Sanjay P.",40,2015,135,8
"16. Solanki, Pratima Rathee",40,2017,160,31
"17. Dimri, Ashok Priyadarshan",39,2017,162,12
"18. Bamezai, Rameshwar Nath Koul",37,2017,453,23
"19. Bhatnagar, Rakesh",37,2017,202,22
"20. Gourinath, Samudrala",37,2016,196,16
"21. Kumar, Sushil Selva",35,2017,85,18
"22. Mukherjee, Saumitra",34,2016,204,10
"23. Bharadwaj, Kamal Kanth",33,2016,187,10
"24. Subbarao, Naidu",32,2017,248,11
"25. Singh, Rana P.",29,2017,331,49
"26. Prasad, Rajendra L.",28,2016,385,22
"27. Mallick, Birendra Nath",26,2016,129,22
"28. BHATTACHARYA, SUDHA",24,2016,150,21
"29. Dasgupta, Rajib",24,2016,40,8
"30. Ghosh, Jayati",24,2016,26,10
"31. Chakraborty, Supriya",23,2017,109,9
"32. Chandrasekhar, C. P.",23,2017,12,4
"33. Madhubala, R.",23,2016,169,22
"34. Mohanty, Tanuja",23,2017,111,14
"35. Sharan, Aditi",23,2016,20,4
"36. Behari, Jitendra",22,2014,296,18
"37. Johri, Atul Kumar",22,2016,207,14
"38. Kumar, Krishan Vinod Pavan Pavan",22,2017,173,16
"39. Bandyopadhyay, Pradipta K.",21,2016,120,12
"40. Dixit, Aparna P.",21,2017,65,9
"41. Jain, Vinod Kumar",21,2016,153,25
"42. Karmeshu, Karmeshu",21,2016,31,7
"43. Kulshrestha, Umesh Chandra",21,2016,49,18
"44. Raju, N. Janardhana",21,2017,30,7
"45. Srivastava, Pawan Kumar",21,2016,96,5
"46. Das, Shankar Prasad",20,2016,59,14
"47. Paul, Jaishree Praveen",20,2016,148,12
"48. Patnaik, Prabhat",19,2017,25,4
"49. Raza, Zahid",19,2017,22,5
"50. Sarin, Neera Bhalla",19,2016,112,13
"51. Ghosh, Indira",18,2016,99,10
"52. Lynn, Andrew Michael Ichael",18,2016,221,13
"53. Singh, Virendra Bahadur",18,2016,116,6
"54. Joshi, Pawan Kumar Umar",17,2016,10,14
"55. Komath, Sneha Sudha",17,2016,71,17
"56. Kumar, Manish",17,2016,254,8
"57. Singh, Awaneesh K.",17,2015,22,6
"58. Balasundaram, Srividya R.",16,2017,52,5
"59. Dhar, Suman Kumar",16,2016,85,17
"60. Katti, Chittaranjan Padmanabha",16,2016,18,3
"61. Nayyar, Deepak",16,2017,43,7
"62. Ramaswamy, Ramakrishna",16,2014,67,22
"63. Saha, Jitendra",16,2017,106,4
"64. Vig, Lovekesh",16,2016,17,6
"65. Yadav, Sudesh N.",16,2016,73,8
"66. Yadava, Pramod",16,2017,77,12
"67. Kale, Raosaheb K.",15,2014,97,10
"68. Mazumder, Mohit",15,2016,34,4
"69. Minz, Sonajharia",15,2017,6,2
"70. Abraham, Suresh K.",14,2017,59,19
"71. Bajpai, Vikas",14,2016,10,4
"72. Bhattacherjee, Aranya Bhuti",14,2017,15,9
"73. Kaiwartya, Omprakash",14,2016,70,6
"74. Kumar, Santosh",14,2014,10,3
"75. Pati, Uttam K.",14,2015,200,11
"76. Sharma, Anshu L.",14,2017,21,4
77. Shruti,14,2016,214,5
"78. Sopory, Sudhir Kumar",14,2017,118,34
"79. Tyagi, Rakesh Kumar",14,2016,80,15
"80. Vijay Kumar, T. V.",14,2017,67,8
"81. Dhar, Himadri Shekhar",13,2015,104,6
"82. Kesari, Kavindra Kumar",13,2013,238,16
"83. Meena, Ramovatar S.",13,2016,158,9
"84. Mukhopadhyay, Gauranga",13,2017,46,15
"85. Mukhopadhyay, Pritam",13,2016,167,18
"86. Nandi, Ashis Kumar",13,2017,75,11
"87. Rastogi, Ashok Kumar",13,2016,50,11
"88. Saxena, Ajay Kumar",13,2016,41,8
"89. Tripathi, Jayant Kumar",13,2017,52,13
"90. Tripathy, Baishnab Charan Haran",13,2017,29,19
"91. Tyagi, Chetna",13,2017,66,6
"92. Das, Anup Kumar",12,2016,16,3
"93. Dastidar, Krishnendu Ghosh",12,2015,17,5
"94. Dhanjal, Jaspreet Kaur",12,2017,84,8
"95. Grover, Sonam",12,2014,92,6
"96. Jha, Girish Nath",12,2016,3,2
"97. Kuanr, Bijoy Kumar",12,2017,19,16
"98. Kumar, Vipin Praveen",12,2016,6,14
"99. Mukhopadhyay, Chinmay Kumar",12,2017,114,21
"100. Mukhopadhyay, Kasturi",12,2016,94,8
"101. Muthuswami, Rohini",12,2017,35,6
"102. Naidu, G. V C",12,2016,5,2
"103. Paulraj, R.",12,2016,82,10
"104. Rana, Bharti",12,2017,15,2
"105. Rawal, Manpreet Kaur",12,2016,78,5
"106. Sen, Shibsankar",12,2016,42,6
"107. Sharma, Gyaneshwar N.",12,2016,150,5
"108. Singh, Ashutosh K.",12,2014,169,10
"109. Srivastava, Shaili",12,2015,76,9
"110. Tandon, Vibha",12,2017,41,18
"111. Yadav, Sarita M.",12,2016,67,7
"112. Arora, Kavita",11,2016,71,13
"113. Attri, Arun",11,2016,59,12
"114. Chakraborti, Anirban",11,2017,18,17
"115. Dhamgaye, Sanjiveeni",11,2017,115,7
"116. Dua, Meenakshi",11,2016,65,11
"117. Joshi, Nidhi H.",11,2016,12,8
"118. Khillare, Pandit Sudan",11,2015,115,14
"119. Nambiar, Dhanya K.",11,2015,160,7
"120. Naraindas, Harish",11,2016,25,6
"121. Pottakkal, J. G.",11,2016,100,6
"122. Rajamani, Paulraj",11,2016,87,4
"123. Saran, Shweta",11,2017,1795,4
"124. Sharma, Akanksha",11,2016,83,7
"125. Singh, Anu B.",11,2016,72,5
"126. Singh, Karan S.",11,2016,2,21
"126. Singh, Karan S.",11,2016,2,21
"127. Tripathy, Baishnab Charan Haran",11,2013,164,8
"128. Adhikari, Ratnadip",10,2014,37,5
"129. Ghosh, Ilora",10,2016,50,8
"130. Ghosh, Pooja",10,2016,47,4
"131. Goswami, Shyamal K.",10,2014,107,10
"132. Himanshu, H.",10,2016,87,7
"133. Kumar, Alok Yudhistra",10,2016,35,10
"134. Kumar, Ashish Santosh",10,2013,290,24
"135. Kumar, Bablu",10,2016,27,4
"136. Kumar, Manoj Ramana",10,2017,36,5
"137. Kumar, Pardeep M Prathcesh",10,2015,109,8
"138. Kumar, Sanjay",10,2014,188,9
"139. Kumar, Tinku Vijay Vijay",10,2015,42,5
"140. Punia, Milap",10,2015,39,6
"141. Raina, Dhruv",10,2016,17,3
"142. Ramchiary, Nirala",10,2016,48,12
"143. Rath, Pramod C.",10,2017,28,4
"144. Sen, Sobhan",10,2016,109,19
"145. Srivastava, Arun Kumar",10,2016,54,15
"146. Tripathi, Manorama",10,2016,17,5
"147. Asthana, Deepak",9,2015,116,6
"148. BAQUER, Najma Zaheer Aheer",9,2015,119,23
"149. Borthakur, Anwesha",9,2017,7,2
"150. Chatterjee, Arpita",9,2016,12,2
"151. Das, Mihir Tanay",9,2015,68,5
"152. Garkoti, Satish Chandra",9,2015,23,6
"153. Gogna, Rajan",9,2013,168,9
"154. Kumar, B. N. Prashanth",9,2015,60,9
"155. Madan, Esha",9,2013,168,10
"156. Maurya, V. K.",9,2016,20,2
"157. Patel, Arun Singh",9,2016,44,4
"158. Pramanik, A. K.",9,2017,15,2
"159. Raj, Isha",9,2015,85,5
"160. Rina, Kumari",9,2014,78,6
"161. Saxena, Premchand Chand",9,2015,7,1
"162. Saxena, Rajiv K.",9,2016,60,16
"163. Singh, Buddha K.",9,2016,73,3
"164. Singh, Budhi B.",9,2016,45,6
"165. Singh, Chander Kumar",9,2014,41,6
"166. Singh, Jagendra",9,2016,8,2
"167. Singh, Kedar P.",9,2016,17,14
"168. Singh, Madhuri P.",9,2015,86,6
"169. Singh, Rishipal K Brojen",9,2017,5,3
"170. Sreekesh, S.",9,2016,2,1
"171. Tiku, Ashu Bhan",9,2016,56,6
"172. Yadav, Premlata",9,2016,13,2
"173. Ali, Shafat",8,2016,70,7
"174. Bharti, Randhir Kumar",8,2015,29,4
"175. Bisht, Ramila",8,2016,36,4
"176. Chevuturi, A.",8,2016,9,2
"177. Dasgupta, Sangeeta",8,2011,3,1
"178. Desai, Bharat H.",8,2016,3,2
"179. Goyal, Sukriti",8,2017,12,8
"180. Gudavarthy, Ajay",8,2016,6,3
"181. Guru, Gopal",8,2016,9,3
"182. Jodhka, Surinder NDER S",8,2016,16,4
"183. Kalaiarasan, Ponnusamy",8,2016,99,6
"184. Kumar, Pawan Anand",8,2016,49,20
"185. Kumar, Pramod Anand",8,2016,25,9
"186. Linda, Anurag",8,2015,105,6
"187. Nayar, Kesavan Rajasekharan",8,2013,6,4
"188. Neha, Prakriti R.",8,2017,20,2
"189. Pani, Padmini",8,2016,9,2
"190. Parimala, N.",8,2016,13,2
"191. Pathak, Jyotsana K.",8,2016,16,5
"192. Pawar, Nisha R.",8,2016,48,6
"193. Pujala, Ravi Kumar",8,2015,49,4
"194. Rahi, Amit",8,2017,60,4
"195. Ranjan, Rajesh Kumar",8,2015,45,8
"196. Sarin, Shiv Kumar",8,2015,251,39
"197. Sarswat, Ankur",8,2017,389,5
"198. Saxena, K. G.",8,2015,17,6
"199. Shah, Abdul Haseeb",8,2016,47,4
"200. Shashtri, Satyanarayan",8,2015,110,8
"201. Singh, Abhishek Kumar",8,2016,65,15
"202. Singh, Charan M P",8,2012,127,21
"203. Singh, Deepak J.",8,2016,43,6
"204. Singh, Neha K.",8,2015,17,4
"205. Singhal, Anjali",8,2016,25,5
"206. SRIVASTAVA, AMIT Kumar Umar",8,2014,62,35
"207. Ahmad, Shaista",7,2014,35,4
"208. Ajayakumar, M. R.",7,2015,97,7
"209. Azam, Mohd Farooq",7,2016,101,6
"210. Bansal, Sangeeta C.",7,2015,7,3
"211. Baru, Rama V.",7,2015,12,5
"212. Choudhary, Meenakshi K.",7,2016,59,7
"213. Datta, Kasturi",7,2016,30,14
"214. Goli, Srinivas",7,2016,6,5
"215. Gupta, Vibhor S.",7,2015,90,10
"216. Iqbal, Mohd Askandar Skandar",7,2015,117,5
"217. Jain, Satish Kumar",7,2015,3,4
"218. Jha, Sushil K.",7,2014,51,13
"219. Juneja, Akanksha",7,2017,9,2
"220. Kaushik, Achal",7,2016,4,1
"221. K̦nig, Lion",7,2015,0,0
"222. Krishna, Venni Venkata",7,2015,24,6
"223. Kumar, Arun",7,2017,2,2
"224. Kumar, Avesh Siva",7,2016,70,6
"225. Kumar, Rishikesh Vinoth",7,2016,23,4
"226. Kundu, Rajendra P.",7,2015,0,1
"227. Kushwaha, Nirbhay Kumar",7,2017,24,4
"228. Mondal, Neelima",7,2016,25,6
"229. Nair, Janaki",7,2015,4,4
"230. Pal, Vishwa",7,2013,26,4
"231. Pandian, M. S S",7,2014,9,4
"232. Patnaik, Utsa",7,2016,9,7
"233. Prasad, Rajendra T.",7,2016,17,55
"234. Puri, Sanjay",7,2017,1,1
"235. Raju, Saraswati S.",7,2014,7,6
"236. Rodrigues, Valerian",7,2015,8,2
"237. Sawhney, Aparna",7,2015,19,3
"238. Sharma, Milap Chand",7,2016,53,10
"239. Sharma, Veerendra Kumar",7,2015,29,3
"240. Singh, Bhupendra Pratap",7,2016,41,8
"241. Singh, Gurmeet",7,2015,56,10
"242. Singh, Jyoti",7,2015,21,3
"243. Singh, Manoj Kumar",7,2016,37,15
"244. Singh, Moirangthem Kiran Iran",7,2016,76,5
"245. Singh, Nishant Yaima",7,2015,36,6
"246. Tanveer, Mohammad",7,2013,57,6
"247. Varshney, Akhil",7,2017,29,4
"248. Wahi, Divya",7,2016,19,3
"249. Yadav, Bhawna S.",7,2014,27,4
"250. Aggarwal, Namita",6,2015,5,1
"251. Aggarwal, Shweta",6,2014,58,5
"252. Arfin, Najmul",6,2015,28,3
"253. Arunima, G.",6,2016,3,1
"254. Bala, Jyoti",6,2017,28,3
"255. Banerjee, Atanu",6,2016,7,2
"256. Basu, Saumik",6,2015,16,3
"257. Birajdar, Balaji Ishwarrao",6,2016,15,12
"258. Chakraborty, Niranjan",6,2016,2,18
"259. Chakraborty, Pinaki",6,2014,13,8
"260. Chakraborty, Subhra",6,2016,2,18
"260. Chakraborty, Subhra",6,2016,2,18
"261. Chopra, Rupali",6,2014,63,7
"262. Choudhury, Devapriya",6,2015,21,14
"263. Das, Gobardhan K.",6,2016,26,20
"264. Das, Sanjoy",6,2013,19,15
"265. Demaria, Federico",6,2016,9,5
"266. Dubey, Amaresh",6,2017,64,5
"267. Galla, Amareswar",6,2012,2,1
"268. Gangwar, Shanti P.",6,2014,7,2
"269. Gaur, Ramesh C.",6,2015,7,2
"270. George, Biju A.",6,2015,37,4
271. Govindjee,6,2016,179,30
"272. Gupta, Deepak Kumar Umar",6,2017,19,36
"273. Gupta, Gyan Prakash",6,2016,16,2
"274. Haider, Mohammad",6,2015,60,7
"275. Jain, Mukesh",6,2016,14,11
"276. Jain, Ritu",6,2015,19,3
"277. Jaiswal, Prashant Kumar",6,2015,33,4
"278. Jha, Praveen",6,2016,6,4
"279. Kale, Rk K.",6,2012,81,7
"280. Khanday, Mudasir Ahmad",6,2016,26,3
"281. Khandelwal, Nitesh Kumar",6,2016,15,2
"282. Kumar, Brijesh Madhan",6,2016,12,9
"283. Kumar, Madan Pradeep",6,2016,15,3
"284. Kumar, Pramod V Anil",6,2013,76,13
"285. Kumar, Santosh G.",6,2012,38,23
"286. Kumar, Santosh Vinoth",6,2015,34,5
"287. Maurya, Indresh Kumar",6,2015,89,5
"288. Mehta, Poonam",6,2016,19,3
"289. Mishra, Deepak K.",6,2016,8,3
"290. Mishra, Monika R.",6,2014,41,5
"291. Mitra, Sudip",6,2015,17,8
"292. Mittal, Sonam",6,2016,30,3
"293. Mukherjee, Saumitra",6,2015,73,9
"294. Pal, Nibedita C.",6,2015,89,6
"295. Pal, Ruchita",6,2016,64,5
"296. Paranjape, Makarand R.",6,2016,6,2
"297. Prasad, Rajendra",6,2017,22,8
"298. Puri, Niti",6,2016,18,8
"299. Rani, Varsha",6,2016,2,1
"300. Rao, Mohan",6,2015,111,4
"301. Roy, Kumkum M.",6,2014,0,1
"302. Sajid, Mohammad",6,2016,1,1
"303. Sarma, Mandira",6,2017,37,3
"304. Saxena, Prem Chandra",6,2014,13,2
"305. Shahid, Mohammad Hassan",6,2016,4,1
"306. Sharma, Deepak Kumar",6,2016,29,46
"307. Sharma, Monika L.",6,2014,98,51
"308. Sidhu, Balraj K.",6,2015,4,1
"309. Singh, Navjot K.",6,2017,15,7
"310. Singh, Ravi Prakash",6,2015,31,2
"311. Singh, Sudha P.",6,2016,26,10
"312. Singh, Sushma J.",6,2013,2,11
"313. Sinha, Adwitiya",6,2015,58,2
"314. Soni, Praveen",6,2015,35,4
"315. Tandon, Ankit",6,2016,52,5
"316. Thapar, Romila",6,2014,36,4
"317. Verma, Sachin Dev",6,2015,87,6
"318. Yadav, Dileep Kumar",6,2016,7,2
"319. Yadav, Shweta",6,2016,39,3
"320. Yusuf, Mohamad Aslam",6,2016,46,20
"321. Ahmad, Hafiz M.",5,2017,57,5
"322. Arya, Rinki",5,2017,12,1
"323. Aslam, Saima",5,2015,24,3
"324. Banerjee, Nirupama",5,2016,13,8
"325. Banerji, Debabar",5,2016,5,6
"326. Baranwal, Gaurav",5,2016,13,2
"327. Bhaduri, Saradindu",5,2015,8,3
"328. Bhardwaj, Nitin",5,2015,17,3
"329. Bidhoodi, Neeta",5,2016,5,1
"330. Biyani, Neha",5,2015,79,5
"331. Chand, Pritam",5,2016,7,2
"332. Chimni, Bhupinder S.",5,2015,9,4
"333. Cowsik, Sudha Mahajan",5,2015,66,13
"334. Das, Arijit",5,2016,0,0
"335. Das, Sarbashis",5,2014,32,3
"336. Datta, Kasturi",5,2015,43,7
"337. Deshmukh, Abhijit S.",5,2015,32,3
"338. Dhanraj, Swapnil",5,2015,0,0
"339. Dhar, Pawan Kumar",5,2017,6,11
"340. Dubey, Ajay Kumar",5,2015,1,1
"341. Garg, Rajni",5,2015,20,3
"342. Gautam, Sandeep Kumar Umar",5,2016,24,3
"343. Ghoshal, Debashis",5,2015,10,7
"344. Gochhait, Sailesh",5,2012,87,12
"345. Gopinath, Prakasam",5,2015,80,3
"346. Guha, Subrata",5,2015,0,1
"347. Jaiswal, Prabhat K.",5,2012,19,4
"348. JAYAL, NIRAJA Gopal",5,2016,3,3
"349. Kant, Vibhor",5,2013,34,4
350. Kapil,5,2014,26,4
"351. Kateriya, Suneel",5,2016,1,13
"352. Khandelwal, Nidhi",5,2016,21,3
"353. Kondapalli, Srikanth",5,2015,2,2
"354. Kulkarni, Purushottam M.",5,2016,2,2
"355. Kumar, Amit",5,2016,32,4
"356. Kumar, Amit",5,2016,6,6
"357. Kumar, Deepak",5,2016,2,2
"358. Kumar, Deepak",5,2015,13,3
"359. Kumar, Deepak Ashok",5,2016,58,18
"360. Kumar, Gautam Pavan",5,2015,53,6
"361. Kumar, Manoj Raj",5,2016,22,3
"362. Kushwaha, Hemant Ritturaj",5,2013,54,8
"363. Lakra, Nita",5,2016,26,4
"364. Maharana, P.",5,2016,5,2
"365. Malik, G. P.",5,2016,7,5
"366. Meena, Sita R.",5,2014,4,1
"367. Menon, Nivedita",5,2015,8,4
"368. Mishra, Mukesh C.",5,2015,20,6
"369. Mukherjee, Krishna Jyoti",5,2013,23,6
"370. Murthy, Satyanarayana Sridhara N",5,2016,9,6
"371. Naha, Souvik",5,2014,4,1
"372. Narang, Pankaj",5,2016,3,1
"373. Natarajan, Krishnamurthy",5,2014,179,12
"374. Nigam, Lokesh",5,2017,13,2
"375. Nirala, Jay Prakash",5,2014,39,3
"376. Ojha, Sandeep",5,2015,20,3
"377. Pandey, Akhilesh K.",5,2016,12,9
"378. Patra, Nilanjan",5,2014,0,1
"379. Patra, Swapan Kumar",5,2015,12,4
"380. Prakash, Amit",5,2014,0,0
"381. Prakash, Shiv R.",5,2016,24,3
"382. Punia, Monika",5,2015,34,3
"383. Ramaswamy, Ram",5,2016,112,3
"384. Ramaswamy, Ramakrishna",5,2016,3,1
"385. Rana, Manjul",5,2016,4,2
"386. Reddy, Sunita Vijayasekhara",5,2015,11,3
"387. Rehan, Mohd",5,2013,111,9
"388. Sachar, Sumedha",5,2013,46,4
"389. Saikia, Nandita",5,2016,5,4
"390. Saradhi, Mallampati",5,2015,21,7
"391. Sarin, Shiv Kumar",5,2016,44,35
"392. Sarkar, Subir Kumar",5,2016,13,6
"393. Sen, Prasenjit",5,2016,24,9
"394. Shanker, Sudhanshu",5,2016,59,2
"395. Sharma, Manoj K.",5,2016,2,8
"396. Sharma, Parmanand",5,2014,68,6
"397. Sharma, Rita",5,2016,7,1
"398. Singh, Achuit K.",5,2017,40,8
"399. Singh, Pooja P.",5,2016,10,1
"400. Singh, Samer",5,2015,61,15
"401. Singh, Subaran",5,2016,20,2
"402. Singh, Swaran R.",5,2014,6,4
"403. Somani, Vikas Kumar",5,2017,8,2
"404. Sood, Atul",5,2017,9,2
"405. Tarique, Khaja Faisal",5,2016,15,2
"406. Tewari, Girish C.",5,2013,24,5
"407. Thorat, Sukhadeo",5,2016,27,6
"408. Verma, Akhilesh Kumar",5,2015,42,26
"409. Verma, Vijay",5,2016,33,4
"410. Yadav, Vijay Pal",5,2017,22,3
"411. Acharya, Prasenjit",4,2016,7,2
"412. Agarwal, Vinti",4,2015,25,3
"413. Ahmad, Md Faiz",4,2015,7,8
"414. Alam, Taj",4,2016,5,1
"415. Babbar, Parveen",4,2016,3,2
"416. Baxi, Pratiksha",4,2016,22,4
"417. Bharadwaj, Dwaipayan",4,2016,27,18
"418. Brojen Singh, R. K.",4,2016,1,4
"419. Chakravarty, Sujoy",4,2016,29,5
"420. Chattopadhyay, Brotati",4,2015,46,7
"421. Chauhan, Rita K S",4,2015,8,5
"422. Dhar, Biswajit",4,2016,0,2
"423. Dutt, Bishnupriya",4,2012,0,0
"424. Dwivedi, Pragya",4,2015,10,2
"425. Gaur, D.",4,2016,33,15
"426. Gopal, Jee Gopal",4,2015,43,2
"427. Gowri, Venkatraman Subramanian",4,2016,23,3
"428. Gupta, Akshansh",4,2016,3,1
"429. Haider, Najaf",4,2011,4,2
"430. Jain, Rajendra K.",4,2015,7,3
"431. Jaiswal, Ajay K.",4,2013,5,1
"432. Joshi, Rakesh K.",4,2013,52,14
"433. Joshi, Rohit K.",4,2016,48,7
"434. Kale, Raosahab Kathalupant",4,2014,28,4
"435. Kamal, Vikas",4,2016,31,1
"436. Kapoor, Khyati",4,2013,31,8
"437. Kaur, Manpreet",4,2015,43,5
"438. Khan, Mohammadfiroz",4,2016,18,3
"439. Kulshreshtha, Parul",4,2015,27,3
"439. Kulshreshtha, Parul",4,2015,27,3
"440. Kumar, Deepak Vijay",4,2014,14,3
"441. Kumar, Goutam Senthil",4,2016,2,2
"442. Kumar, Ritesh",4,2014,1,2
"443. Kumar, Sudhir Ramesh",4,2015,18,13
"444. Kumar, Vivek",4,2016,0,1
"445. Kumaraswamy, P. R.",4,2016,0,2
"446. Kumari, Punam Hima",4,2015,20,4
"447. Kumari, Sangeeta",4,2015,4,3
"448. Kundu, Amitabh",4,2013,21,6
"449. Mahapatra, Chintamani",4,2015,1,1
"450. Maitra, Shaunak S.",4,2015,3,1
"451. Manchanda, Kaustubh",4,2013,12,2
"452. Mansuri, M. Shahid",4,2016,12,2
"453. Mohan, Dinesh",4,2017,0,1
"454. Mukherjee, Krishna Jyoti",4,2015,28,10
"455. Nambissan, Geetha B.",4,2012,3,2
"456. Nongpiur, Ramsong Chantre",4,2016,21,2
"457. Panda, Minati",4,2014,0,0
"458. Pant, Girijesh C.",4,2015,0,0
"459. Prajapati, Vandana",4,2015,22,3
"460. Priya, Ritu",4,2014,5,6
"461. Rani, Madhu V Usha",4,2012,76,9
"462. Ranjan, Amit",4,2014,11,4
"463. Rath, Pramod C.",4,2016,9,9
"464. Raw, Ram Shringar",4,2013,27,4
"465. Rehman, Syed Arif Abdul",4,2016,53,4
"466. Roy, Suchismita",4,2015,42,7
"467. Roychowdhury, Tanmoy",4,2015,33,3
"468. Sachdeva, Gulshan",4,2016,2,2
"469. Saha, Paramita",4,2015,28,3
"470. Sanwlani, Shilpa",4,2015,23,4
"471. Sardana, Manju",4,2015,8,2
"472. Sen Gupta, Bhaskar",4,2015,2,2
"473. Shah, Kushal",4,2012,48,5
"474. Shankaraiah, N.",4,2016,2,2
"475. Sharma, Abhinay Kumar",4,2014,24,4
"476. Sharma, Rahul M.",4,2016,23,4
"477. Sharma, Rita R.",4,2016,2,13
"478. Shireen, Tahsina",4,2015,35,4
"479. Shrivastav, Gaurav Prakash",4,2014,8,3
"480. Singh, Alok Kumar",4,2016,46,4
"481. Singh, Amit Kumar",4,2011,33,19
"482. Singh, Rameshwar Kushal",4,2016,9,10
"483. Singh, Sudhuman Santinath",4,2014,17,5
"484. Singh, Vijayata P.",4,2016,32,4
"Singh, Vinod Kumar",4,2012,283,52
"Singha, Radhika",4,2016,5,4
"Sinha, Dipa",4,2014,16,4
"Soda, Neelam",4,2016,15,2
Somlata,4,2014,75,4
"Srivastava, Ravi S.",4,2016,2,5
"Sujatha, V.",4,2015,19,5
"Tandon, Ravi",4,2016,6,16
"Tanti, Goutam Kumar Umar",4,2015,25,3
"Tapryal, Nisha",4,2015,19,5
"Tiwari, Pawan Kumar",4,2016,18,6
"Tiwari, Sachchidanand",4,2017,0,1
"Tiwari, Swati",4,2016,5,6
"Tripathi, Deeksha",4,2015,14,3
"Tripathi, T. S.",4,2011,13,5
"Ujjwal, Sangeeta Rani",4,2016,14,1
