Column 1,Column 2,Column 3,Column 4
1 100.0,Rockefeller University,,
2 100.0,Baylor College of Medicine,,
3 100.0,"University of California, San Francisco",,
4 100.0,Weizmann Institute of Science,,
5 100.0,London School of Hygiene and Tropical Medicine,,
6 100.0,California Institute of Technology (Caltech),,
7 100.0,Yale University,,
8 100.0,Vanderbilt University,,
9 100.0,École Normale Supérieure de Lyon,,
10 100.0,University of Oxford,,
11 100.0,Tokyo Medical and Dental University (TMDU),,
12 100.0,National Research Saratov State University,,
13 100.0,Johns Hopkins University,,
14 100.0,"University of Colorado, Denver",,
15 100.0,Massachusetts Institute of Technology (MIT),,
16 100.0,University of Cambridge,,
17 100.0,University of Pennsylvania,,
18 100.0,Columbia University,,
19 99.9,Washington University in St. Louis,,
20 99.9,Wageningen University,,
21 99.9,Yokohama City University,,
22 99.9,University of Rochester,,
23 99.9,Imperial College London,,
24 99.9,University of Copenhagen,,
25 99.9,L.N. Gumilyov Eurasian National University,,
26 99.9,Wake Forest University,,
27 99.8,Bauman Moscow State Technical University,,
28 99.8,Duke University,,
29 99.6,Lomonosov Moscow State University,,
30 99.6,Universidad Externado de Colombia,,
31 99.6,Pohang University of Science And Technology (POSTECH),,
32 99.5,Stanford University,,
33 99.4,National Yang Ming University,,
34 99.4,Eindhoven University of Technology,,
35 99.3,Cranfield University,,
36 99.3,Karolinska Institutet,,
37 99.2,Ecole Polytechnique,,
38 99.1,Moscow Institute of Physics and Technology State University,,
39 98.8,Kyushu University,,
40 98.6,Harvard University,,
41 98.6,UCL (University College London),,
42 97.8,Yeshiva University,,
43 97.7,Case Western Reserve University,,
44 97.6,Moscow State Institute of International Relations (MGIMO University),,
45 97.1,Tohoku University,,
46 97.0,Saint-Petersburg State University,,
47 96.3,The University of Tokyo,,
48 95.4,Technical University of Denmark,,
49 95.3,University of Antwerp,,
50 95.2,University of Lausanne,,
51 95.0,Vrije Universiteit Brussel (VUB),,
52 94.8,New York University (NYU),,
53 94.6,University of Helsinki,,
54 94.5,Hanyang University,,
55 94.3,University of Miami,,
56 94.2,"Nanyang Technological University, Singapore (NTU)",,
57 94.1,Kyoto University,,
58 94.1,Universiti Malaya (UM),,
59 93.8,University of Pittsburgh,,
60 93.8,University of Chicago,,
61 93.7,Nagoya University,,
62 93.7,Peter the Great Saint-Petersburg Polytechnic University,,
63 93.6,EPFL (Ecole Polytechnique Fédérale de Lausanne),,
64 93.6,École des Ponts ParisTech,,
65 92.9,Princeton University,,
66 92.9,Universidad Austral,,
67 92.9,National University of Singapore (NUS),,
68 92.6,Sciences Po Paris,,
69 92.6,Aalto University,,
70 92.5,University of Tromsø The Arctic University of Norway,,
71 92.5,University of Turku,,
72 92.3,Northwestern University,,
73 92.2,Al-Farabi Kazakh National University,,
74 91.9,"Ecole normale supérieure, Paris",,
75 91.7,Ecole Normale Supérieure de Cachan,,
76 91.4,National Research Tomsk Polytechnic University,,
77 90.8,University of Zurich,,
78 90.3,Technische Universität München,,
79 90.3,Ghent University,,
80 90.2,King Saud University,,
81 90.1,Southern Federal University,,
82 90.1,Higher School of Economics (HSE),,
83 90.0,The Catholic University of Korea,,
84 89.9,Kings College London,,
85 89.8,Université Saint-Joseph de Beyrouth,,
86 89.2,Tampere University of Technology,,
87 89.0,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,
88 89.0,Novosibirsk State University,,
89 88.7,Belarus State University,,
90 88.7,University of Jyväskylä,,
91 88.1,Hiroshima University,,
92 87.5,Tsinghua University,,
93 87.2,Nagasaki University,,
94 87.2,Tokyo Institute of Technology,,
95 86.9,Sungkyunkwan University (SKKU),,
96 86.8,Osaka University,,
97 86.7,Kazakh National Technical University named after K.I.Satpaev,,
98 86.7,Ecole Centrale de Paris,,
99 86.4,Dartmouth College,,
100 86.4,University of Bergen,,
101 85.8,Hokkaido University,,
102 85.7,University of Wisconsin-Madison,,
103 85.3,The University of Edinburgh,,
104 85.1,Emory University,,
105 85.0,Mahidol University,,
106 84.7,"KIT, Karlsruhe Institute of Technology",,
107 84.5,The University of Hong Kong,,
108 84.4,Indian Institute of Science (IISc) Bangalore,,
109 84.2,University of Navarra,,
110 84.2,Rice University,,
111 84.2,Seoul National University,,
112 84.0,Umea University,,
113 84.0,Khalifa University,,
114 83.9,King Fahd University of Petroleum & Minerals,,
115 83.8,Yonsei University,,
116 83.2,Korea University,,
117 82.6,University of Toronto,,
118 82.5,The Hebrew University of Jerusalem,,
119 82.5,Chung-Ang University(CAU),,
120 82.5,Wayne State University,,
121 82.4,Eberhard Karls Universität Tübingen,,
122 81.9,City University of Hong Kong,,
123 81.8,V. N. Karazin Kharkiv National University,,
124 81.7,Brown University,,
125 81.7,"University of North Carolina, Chapel Hill",,
126 81.6,Universidad de San Andrés - UdeSA,,
127 81.3,University of Michigan,,
128 81.1,University of Groningen,,
129 81.1,Instituto Tecnológico de Buenos Aires (ITBA),,
130 80.8,McGill University,,
131 80.6,Taras Shevchenko National University of Kyiv,,
132 79.8,Kazakh National Pedagogical University named after Abay,,
133 79.8,Hallym University,,
134 79.7,University of Bristol,,
135 79.5,University Ulm,,
136 79.4,The University of Manchester,,
137 79.4,University of Dundee,,
138 79.0,University of St Andrews,,
139 79.0,University of Tsukuba,,
140 78.6,ETH Zurich - Swiss Federal Institute of Technology,,
141 78.5,KAIST - Korea Advanced Institute of Science & Technology,,
142 78.5,Ewha Womans University,,
143 77.9,Universiti Teknologi Malaysia,,
144 77.9,Okayama University,,
145 77.7,Universidad Panamericana (UP),,
146 77.6,Ruprecht-Karls-Universitaet Heidelberg,,
147 77.5,University of Eastern Finland,,
148 77.1,Gifu University,,
149 77.0,King Abdullah University of Science & Technology,,
150 76.6,University of Southampton,,
151 76.4,University of Kansas,,
153 75.6,Far Eastern Federal University,,
154 75.4,National University of Sciences And Technology (NUST) Islamabad,,
155 75.4,Al-Imam Mohamed Ibn Saud Islamic University,,
156 75.3,Kazan (Volga region) Federal University,,
157 75.2,Dongguk University,,
158 74.9,Georg-August-University Goettingen,,
159 74.7,National Taiwan University of Science and Technology (Taiwan Tech),,
160 74.6,Chang Gung University,,
161 74.6,Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University),,
162 74.3,Universidade Federal de São Paulo (UNIFESP),,
163 74.2,"University of California, Los Angeles (UCLA)",,
164 74.0,Tomsk State University,,
165 73.9,Cornell University,,
166 73.7,Arabian Gulf University,,
167 73.0,Peking University,,
168 72.8,Linköping University,,
169 72.6,Kyung Hee University,,
170 72.4,Queen Mary University of London,,
171 72.3,"National University of Ireland, Galway",,
172 72.2,University of Vermont,,
173 72.1,"St. George's, University of London",,
174 71.9,The Ohio State University,,
175 71.9,Chalmers University of Technology,,
176 71.5,Instituto Tecnológico y de Estudios Superiores de Monterrey,,
177 71.5,Maastricht University,,
178 70.9,Inha University,,
179 70.9,University of Virginia,,
180 70.7,Hankuk (Korea) University of Foreign Studies,,
181 70.6,Lincoln University,,
182 70.3,Universidad de Belgrano,,
183 70.3,King Abdulaziz University (KAU),,
184 70.1,Universität Jena,,
185 70.1,University of Colorado Boulder,,
186 69.6,Tulane University,,
187 69.4,University of Mississippi,,
188 69.3,The Chinese University of Hong Kong,,
189 69.3,Jawaharlal Nehru University,,
190 69.0,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,,
191 68.9,The Australian National University,,
192 68.6,Universidade Federal da Bahia,,
193 68.2,University of Florida,,
194 68.0,Kagoshima University,,
195 67.8,The National University of Science and Technology “MISiS”,,
196 67.7,KTH Royal Institute of Technology,,
197 67.6,Howard University,,
198 67.6,University of Hawai'i at Mañoa,,
199 67.5,University of Tartu,,
200 67.4,Peoples' Friendship University of Russia,,
201 66.9,Sultan Qaboos University,,
202 66.8,University of Liverpool,,
203 66.8,"University of California, San Diego (UCSD)",,
204 66.8,Cardiff University,,
205 66.4,Université Paris-Sud,,
206 66.4,Universidade do Estado do Rio de Janeiro (UERJ),,
207 66.3,The University of Sheffield,,
208 65.8,University of Oklahoma,,
209 65.8,The Hong Kong University of Science and Technology,,
210 65.7,Erasmus University Rotterdam,,
211 65.3,University of Aberdeen,,
212 65.2,Kobe University,,
213 65.0,London School of Economics and Political Science (LSE),,
214 64.9,National Chiao Tung University,,
215 64.7,Umm Al-Qura University,,
216 64.7,Universität Stuttgart,,
217 64.7,Pontificia Universidade Católica de São Paulo (PUC -SP),,
218 64.6,Technische Universität Braunschweig,,
219 64.6,McMaster University,,
220 64.4,University of Glasgow,,
221 64.3,Martin-Luther-Universität Halle-Wittenberg,,
222 64.0,New School University,,
223 64.0,University of Leicester,,
224 64.0,Tufts University,,
225 63.6,Yamaguchi University,,
226 63.5,Ajou University,,
227 63.5,University of Ulsan,,
228 63.4,Copenhagen Business School,,
229 63.3,Taipei Medical University,,
230 63.3,"University of Maryland, College Park",,
231 62.9,Vilnius University,,
232 62.8,University of Science and Technology of China,,
233 62.7,American University of Beirut (AUB),,
234 62.7,Niigata University,,
235 62.5,Boston University,,
236 62.4,King Khalid University,,
237 62.4,Université Panthéon-Assas (Paris 2),,
238 62.4,The University of Warwick,,
239 62.4,Gunma University,,
240 62.3,University of Geneva,,
241 62.1,"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",,
242 62.1,Universitat Politècnica de Catalunya,,
243 62.0,Universidad Carlos III de Madrid (UC3M),,
244 61.8,Newcastle University,,
244 61.9,Université Paul Sabatier Toulouse III,,
245 61.4,University of Oulu,,
246 61.4,Universidad de Buenos Aires (UBA),,
247 61.3,Fudan University,,
248 61.3,University of Oslo,,
249 61.1,The University of Nottingham,,
250 60.8,Sumy State University,,
251 60.7,Trinity College Dublin,,
252 60.4,University of Birmingham,,
253 60.3,Rheinische Friedrich-Wilhelms-Universitt Bonn,,
254 60.0,Radboud University,,
255 59.7,Auezov South Kazakhstan State University (SKSU),,
256 59.5,Institut National des Sciences Appliquées de Lyon (INSA),,
257 59.3,Albert-Ludwigs-Universitaet Freiburg,,
258 59.0,Kumamoto University,,
259 58.8,Universidad de Palermo (UP),,
260 58.7,Georgetown University,,
261 58.1,Lund University,,
262 58.0,University of Tampere,,
263 57.9,University of Leeds,,
264 57.6,University of Baghdad,,
265 57.5,Keio University,,
266 57.3,Kanazawa University,,
267 57.0,Universidade Federal Fluminense,,
268 56.9,Universidade Federal de Viçosa-UFV,,
269 56.9,Chonbuk National University,,
270 56.9,Xi’an Jiaotong University,,
271 56.8,Christian-Albrechts-University zu Kiel,,
272 56.7,University of Alberta,,
273 56.5,Virginia Commonwealth University,,
274 56.2,Osaka Prefecture University,,
275 56.2,University of New Mexico,,
276 55.8,Comenius University in Bratislava,,
277 55.8,China Medical University Taichung,,
278 55.5,University of New Hampshire,,
279 55.2,Universidad ANAHUAC,,
280 55.2,Université Catholique de Louvain (UCL),,
281 54.8,Dankook University,,
282 54.4,Karaganda State University named after academician E.A.Buketov,,
283 54.3,Plekhanov Russian University of Economics,,
284 54.3,University of Amsterdam,,
285 54.1,University of Washington,,
286 54.0,Westfälische Wilhelms-Universitat Münster,,
287 53.8,UNESP,,
288 53.7,Universität Bremen,,
289 53.4,Sabanci University,,
290 53.4,University of Gothenburg,,
291 53.3,National Taiwan Normal University,,
292 53.3,Qatar University,,
293 52.9,Southern Methodist University,,
294 52.5,Hong Kong Baptist University,,
295 52.5,National Taipei University of Technology,,
296 52.4,Queen's University Belfast,,
297 52.4,University of Iowa,,
298 52.2,"SOAS, University of London",,
299 52.1,Bond University,,
300 52.0,University of Szeged,,
301 51.8,Beihang University (former BUAA),,
302 51.6,BNTU,,
303 51.5,University of Reading,,
304 51.5,University of York,,
305 51.3,Universidad Autonoma de Madrid,,
306 51.2,University of Denver,,
307 51.0,National Cheng Kung University,,
308 50.8,Chonnam National University,,
309 50.8,Memorial University of Newfoundland,,
310 50.5,Sogang University,,
311 50.5,"Stony Brook University, State University of New York",,
312 50.4,University of Notre Dame,,
313 50.1,Universiti Kebangsaan Malaysia (UKM),,
314 50.1,Jagiellonian University,,
315 49.8,Ludwig-Maximilians-Universität München,,
316 49.7,Kaunas University of Technology,,
317 49.4,Harbin Institute of Technology,,
318 49.4,"National Technical University ""Kharkiv Polytechnic Institute""",,
319 49.4,Universidad Nacional Autónoma de México (UNAM),,
320 49.2,Johannes Gutenberg Universität Mainz,,
321 49.2,The American University in Cairo,,
322 49.1,Université de Sherbrooke,,
323 49.0,Ben Gurion University of The Negev,,
324 48.8,Université de Liège,,
325 48.7,Durham University,,
326 48.6,Charles University in Prague,,
327 48.3,Universidad de Guadalajara (UDG),,
328 48.2,Tallinn University of Technology,,
329 48.2,"The University of Tennessee, Knoxville",,
330 48.1,Universiti Putra Malaysia (UPM),,
331 48.1,Dublin City University,,
333 48.0,Universidade Nova de Lisboa,,
334 47.8,Universität Bayreuth,,
335 47.8,Drexel University,,
336 47.8,Universidad de Zaragoza,,
337 47.5,"University of Illinois, Chicago (UIC)",,
338 47.3,Shanghai Jiao Tong University,,
339 47.1,Utrecht University,,
340 47.1,University of Surrey,,
341 47.1,INSEAD,,
342 47.0,Uppsala University,,
343 47.0,University of Southern Denmark,,
344 47.0,The Hong Kong Polytechnic University,,
345 47.0,University of British Columbia,,
346 46.9,"University of California, Berkeley (UCB)",,
347 46.9,University of Wyoming,,
348 46.5,Osaka City University,,
349 46.5,Kazakh Ablai khan University of International Relations and World Languages,,
350 46.5,Politécnica de Madrid,,
351 46.5,Khazar University,,
351 46.4,Swansea University,,
352 46.3,University of Bern,,
353 46.1,National Taiwan University (NTU),,
354 46.1,Ateneo de Manila University,,
355 46.0,University of the Pacific,,
356 45.6,WHU - Otto Beisheim School of Management,,
357 45.4,Tianjin University,,
358 45.3,University of the Philippines,,
359 45.2,Universität Konstanz,,
360 45.1,Lancaster University,,
361 45.1,University of St. Kliment Ohridski,,
362 45.0,University of Utah,,
363 44.8,College of William & Mary,,
364 44.5,Georgia Institute of Technology,,
365 44.5,Chiba University,,
366 44.4,Lobachevsky University,,
367 44.3,Marquette University,,
368 44.3,Universiti Sains Malaysia (USM),,
369 44.3,University of Twente,,
370 44.3,The University of Exeter,,
371 44.1,Loyola University Chicago,,
372 44.1,Michigan Technological University,,
373 44.0,Universidade de Brasilia,,
374 43.9,Renmin (People’s) University of China,,
375 43.8,University of Cincinnati,,
376 43.6,University of Latvia,,
377 43.6,Leiden University,,
378 43.6,University of Indonesia,,
379 43.5,University of Tulsa,,
380 43.4,University of Manitoba,,
381 43.3,Aarhus University,,
382 43.3,Pusan National University,,
383 43.3,American University,,
384 43.2,University College Cork,,
385 43.2,Gwangju Institute of Science and Technology (GIST),,
386 43.2,Nankai University,,
387 43.1,George Mason University,,
388 43.1,National Central University,,
389 42.9,University of Southern California,,
390 42.5,University of Seoul,,
391 42.4,Abo Akademi University,,
392 42.4,Smith College,,
393 42.4,Nicolaus Copernicus University,,
394 42.3,Pontificia Universidad Catolica del Ecuador,,
395 42.2,Beijing Normal University,,
396 42.2,The University of Adelaide,,
397 41.9,The University of Queensland,,
399 41.7,"University of Missouri, Columbia (Mizzou)",,
400 41.4,Koc University,,
401 40.7,Southeast University,,
